x,y,z,collapse_count,last_collapsed_at
0,0,0,1,15.083580477292514
0,0,1,0,
0,0,2,0,
0,0,3,0,
0,0,4,0,
0,0,5,1,36.85982155762948
0,0,6,1,65.30939895024633
0,0,7,3,62.830462353098156
0,0,8,1,56.42628352448765
0,0,9,1,60.23692257072846
0,0,10,1,2.333912507782751
0,0,11,0,
0,0,12,0,
0,0,13,1,12.306584549914875
0,0,14,0,
0,0,15,1,6.132679535389435
0,0,16,1,39.06194347811705
0,0,17,0,
0,0,18,0,
0,0,19,0,
0,0,20,2,68.28725629896479
0,0,21,2,85.49099486778653
0,0,22,1,26.065505380333736
0,0,23,0,
0,0,24,0,
0,0,25,1,47.37118167408209
0,0,26,1,33.024731739803684
0,0,27,0,
0,0,28,0,
0,0,29,1,45.59765572095172
0,0,30,0,
0,0,31,1,23.32114542932422
0,0,32,0,
0,0,33,1,9.511388660487249
0,0,34,1,38.36244219410749
0,0,35,0,
0,0,36,0,
0,0,37,2,63.062872881697274
0,0,38,0,
0,0,39,0,
0,0,40,2,95.41418280096553
0,0,41,0,
0,0,42,0,
0,0,43,1,11.693621220013405
0,0,44,0,
0,0,45,0,
0,0,46,1,58.52273286586259
0,0,47,0,
0,0,48,0,
0,0,49,0,
0,1,0,0,
0,1,1,0,
0,1,2,0,
0,1,3,0,
0,1,4,0,
0,1,5,0,
0,1,6,1,31.714481645251983
0,1,7,1,21.975337772622954
0,1,8,1,7.160351100520636
0,1,9,0,
0,1,10,4,81.74530622045448
0,1,11,1,0.6897427080012438
0,1,12,0,
0,1,13,0,
0,1,14,0,
0,1,15,0,
0,1,16,0,
0,1,17,1,11.117294829479004
0,1,18,0,
0,1,19,1,62.1536877835803
0,1,20,0,
0,1,21,0,
0,1,22,2,89.31603560435727
0,1,23,0,
0,1,24,0,
0,1,25,1,19.844162659061297
0,1,26,1,55.33150115440283
0,1,27,0,
0,1,28,1,0.7591568199213318
0,1,29,2,74.45935085388616
0,1,30,0,
0,1,31,2,65.00549201097412
0,1,32,1,16.019694907857122
0,1,33,1,17.781724400851818
0,1,34,0,
0,1,35,1,54.42529637279665
0,1,36,1,63.18700341488352
0,1,37,0,
0,1,38,1,65.16471380600409
0,1,39,1,61.36442711337085
0,1,40,2,21.88910401542583
0,1,41,0,
0,1,42,0,
0,1,43,1,90.58721548973759
0,1,44,2,57.10229070114372
0,1,45,3,9.026138712546944
0,1,46,0,
0,1,47,0,
0,1,48,1,39.02645864162549
0,1,49,0,
0,2,0,1,63.94419850047022
0,2,1,0,
0,2,2,1,63.58020201856756
0,2,3,0,
0,2,4,0,
0,2,5,0,
0,2,6,1,56.49022842493008
0,2,7,0,
0,2,8,0,
0,2,9,0,
0,2,10,0,
0,2,11,2,29.21753814033514
0,2,12,0,
0,2,13,1,68.08007682209586
0,2,14,0,
0,2,15,3,18.60116448253268
0,2,16,2,92.25712910184727
0,2,17,3,35.45807876263727
0,2,18,1,2.152355233163497
0,2,19,1,40.44820420427173
0,2,20,0,
0,2,21,1,58.2194647464773
0,2,22,0,
0,2,23,3,34.886059322820046
0,2,24,1,71.1657335124715
0,2,25,3,45.587049925410376
0,2,26,1,3.4256992032694287
0,2,27,0,
0,2,28,1,52.39262904216965
0,2,29,1,8.607713656192622
0,2,30,1,55.36027226417035
0,2,31,0,
0,2,32,1,41.05496565651564
0,2,33,0,
0,2,34,1,25.218223840439066
0,2,35,2,37.21825345020942
0,2,36,0,
0,2,37,0,
0,2,38,2,79.37789919901779
0,2,39,1,66.12337953139328
0,2,40,1,96.29714746414146
0,2,41,1,40.978594371150194
0,2,42,0,
0,2,43,1,1.5003918564786836
0,2,44,0,
0,2,45,2,26.293748441960638
0,2,46,1,96.48928695752707
0,2,47,0,
0,2,48,1,49.741304382337574
0,2,49,2,20.81183233439301
0,3,0,0,
0,3,1,0,
0,3,2,1,5.7969714647296495
0,3,3,2,87.07907420158871
0,3,4,2,44.79165369797696
0,3,5,1,85.70470163943261
0,3,6,0,
0,3,7,0,
0,3,8,1,55.24220857387233
0,3,9,0,
0,3,10,0,
0,3,11,0,
0,3,12,0,
0,3,13,0,
0,3,14,0,
0,3,15,0,
0,3,16,0,
0,3,17,0,
0,3,18,2,57.23995280138121
0,3,19,1,18.39114887309114
0,3,20,1,28.22673274260788
0,3,21,0,
0,3,22,1,1.68771441918273
0,3,23,0,
0,3,24,0,
0,3,25,1,61.61364814604754
0,3,26,0,
0,3,27,1,65.20209544268701
0,3,28,0,
0,3,29,1,31.04786162956564
0,3,30,0,
0,3,31,0,
0,3,32,1,78.32046946785673
0,3,33,1,55.31068900232818
0,3,34,2,80.60271250706786
0,3,35,1,45.2852244630293
0,3,36,1,45.63911350563928
0,3,37,0,
0,3,38,1,35.8541106137171
0,3,39,0,
0,3,40,2,50.36185122514836
0,3,41,0,
0,3,42,1,49.09914428417166
0,3,43,1,81.75089573809832
0,3,44,0,
0,3,45,0,
0,3,46,1,31.900027961929055
0,3,47,0,
0,3,48,0,
0,3,49,0,
0,4,0,1,38.122103165000595
0,4,1,1,26.658076045965093
0,4,2,0,
0,4,3,0,
0,4,4,1,16.119831515658777
0,4,5,0,
0,4,6,1,12.697921832391941
0,4,7,1,21.897671913041044
0,4,8,0,
0,4,9,2,53.784478335246156
0,4,10,1,54.18440380494884
0,4,11,0,
0,4,12,0,
0,4,13,1,31.492085803131754
0,4,14,0,
0,4,15,0,
0,4,16,1,37.10887891468215
0,4,17,1,4.301753771140358
0,4,18,2,13.045355627823877
0,4,19,2,36.581775559855245
0,4,20,0,
0,4,21,0,
0,4,22,1,21.404702816325187
0,4,23,3,57.632740909080425
0,4,24,1,5.409504503972181
0,4,25,1,14.533317323783548
0,4,26,2,78.48111370242694
0,4,27,0,
0,4,28,0,
0,4,29,0,
0,4,30,1,21.015157516634172
0,4,31,0,
0,4,32,0,
0,4,33,1,1.0511654057335242
0,4,34,0,
0,4,35,0,
0,4,36,1,12.6170319612694
0,4,37,1,15.533223583366482
0,4,38,1,54.38314978635207
0,4,39,0,
0,4,40,1,84.54399148171635
0,4,41,2,52.49381822159554
0,4,42,1,67.79985884966018
0,4,43,0,
0,4,44,1,42.6892961606931
0,4,45,0,
0,4,46,2,72.61719877683753
0,4,47,2,37.847482597279
0,4,48,0,
0,4,49,0,
0,5,0,0,
0,5,1,0,
0,5,2,0,
0,5,3,1,65.15182394349148
0,5,4,0,
0,5,5,3,51.576889634410605
0,5,6,2,63.229949642550864
0,5,7,2,47.07729177215272
0,5,8,1,38.8808698275782
0,5,9,0,
0,5,10,1,8.741735986513845
0,5,11,0,
0,5,12,1,78.60120375454734
0,5,13,1,44.23158689157354
0,5,14,0,
0,5,15,0,
0,5,16,1,95.00752632258656
0,5,17,1,24.114914875975
0,5,18,1,23.256138454451815
0,5,19,0,
0,5,20,0,
0,5,21,0,
0,5,22,2,37.55596875046303
0,5,23,0,
0,5,24,0,
0,5,25,1,73.5499296488691
0,5,26,2,44.707821802750054
0,5,27,3,53.54740947614819
0,5,28,0,
0,5,29,2,86.1974270865857
0,5,30,1,33.30012233011372
0,5,31,2,54.471310408660855
0,5,32,0,
0,5,33,1,12.980906340850323
0,5,34,1,47.23067090248669
0,5,35,0,
0,5,36,1,37.05913190645503
0,5,37,0,
0,5,38,2,68.03425454151173
0,5,39,1,48.4284669448765
0,5,40,0,
0,5,41,0,
0,5,42,0,
0,5,43,0,
0,5,44,0,
0,5,45,1,38.311532178526576
0,5,46,0,
0,5,47,1,66.97051695890892
0,5,48,0,
0,5,49,0,
0,6,0,1,52.38175343100274
0,6,1,0,
0,6,2,0,
0,6,3,1,82.75333658761652
0,6,4,0,
0,6,5,0,
0,6,6,0,
0,6,7,0,
0,6,8,0,
0,6,9,1,34.42815640140685
0,6,10,0,
0,6,11,0,
0,6,12,3,42.461584242482054
0,6,13,1,10.270415034658336
0,6,14,2,40.718099795583655
0,6,15,0,
0,6,16,2,85.46157400673007
0,6,17,1,36.80861835306911
0,6,18,1,36.79987595712879
0,6,19,0,
0,6,20,1,48.37940511115568
0,6,21,1,33.78048914974509
0,6,22,0,
0,6,23,0,
0,6,24,0,
0,6,25,0,
0,6,26,0,
0,6,27,2,77.41569153120841
0,6,28,0,
0,6,29,1,11.088359687356228
0,6,30,1,11.678008583101285
0,6,31,2,94.88499859458767
0,6,32,2,82.31551200936704
0,6,33,1,59.4143085941393
0,6,34,2,19.167929542772743
0,6,35,0,
0,6,36,0,
0,6,37,1,59.30792408191489
0,6,38,0,
0,6,39,1,23.374452244246726
0,6,40,2,58.12802790994484
0,6,41,2,44.02651052218287
0,6,42,0,
0,6,43,1,12.333882383536896
0,6,44,1,53.0027126757883
0,6,45,1,42.851492847006305
0,6,46,0,
0,6,47,0,
0,6,48,0,
0,6,49,0,
0,7,0,0,
0,7,1,2,34.53199471849439
0,7,2,0,
0,7,3,0,
0,7,4,0,
0,7,5,0,
0,7,6,1,15.175371683088684
0,7,7,1,5.829409345995839
0,7,8,0,
0,7,9,0,
0,7,10,1,3.8815031304034204
0,7,11,2,47.415221556279306
0,7,12,1,4.089546113824871
0,7,13,0,
0,7,14,1,9.316384597931027
0,7,15,1,40.38817826601672
0,7,16,2,95.86565739884098
0,7,17,0,
0,7,18,0,
0,7,19,0,
0,7,20,0,
0,7,21,1,29.985473663825218
0,7,22,1,35.15828262856442
0,7,23,1,6.628665850595859
0,7,24,1,62.29329780773535
0,7,25,0,
0,7,26,1,39.64747553668046
0,7,27,1,65.16365349294483
0,7,28,2,13.961706002121726
0,7,29,0,
0,7,30,1,43.718704066558246
0,7,31,0,
0,7,32,1,25.259448372297392
0,7,33,1,37.48139911989154
0,7,34,0,
0,7,35,0,
0,7,36,1,35.25762889801688
0,7,37,1,75.26570514106888
0,7,38,1,1.3780988960088687
0,7,39,1,91.17973774657331
0,7,40,0,
0,7,41,1,9.69224480105561
0,7,42,1,23.155484255769828
0,7,43,1,55.302307173209385
0,7,44,0,
0,7,45,1,46.67482886701318
0,7,46,1,41.83075321737228
0,7,47,0,
0,7,48,0,
0,7,49,0,
0,8,0,0,
0,8,1,1,37.07664856891566
0,8,2,1,97.33191600655637
0,8,3,0,
0,8,4,0,
0,8,5,0,
0,8,6,0,
0,8,7,1,13.629533504549581
0,8,8,0,
0,8,9,1,53.367842684270855
0,8,10,0,
0,8,11,1,46.560071225531765
0,8,12,2,55.240802021125184
0,8,13,0,
0,8,14,1,53.2629783590022
0,8,15,1,38.85967924482417
0,8,16,1,33.87225676632487
0,8,17,1,11.086622093149073
0,8,18,0,
0,8,19,0,
0,8,20,1,74.44480368008614
