x,y,z,collapse_count,last_collapsed_at
0,0,0,0,
0,0,1,1,18.5500373795593
0,0,2,1,54.656175923170444
0,0,3,0,
0,0,4,1,38.03977636281068
0,0,5,1,62.40454231207422
0,0,6,0,
0,0,7,0,
0,0,8,1,93.52088845297123
0,0,9,0,
0,0,10,1,56.46961839240818
0,0,11,1,94.41468138710918
0,0,12,0,
0,0,13,0,
0,0,14,1,22.37020942593774
0,0,15,0,
0,0,16,0,
0,0,17,1,0.972021745689455
0,0,18,1,9.718583402112747
0,0,19,1,78.70886582396923
0,0,20,3,75.78408697576916
0,0,21,1,53.43187179236658
0,0,22,1,37.88492221078512
0,0,23,0,
0,0,24,0,
0,0,25,1,33.99563994755384
0,0,26,2,64.1068322007954
0,0,27,1,89.36424394837591
0,0,28,0,
0,0,29,1,33.03061165346298
0,0,30,1,55.380678943831306
0,0,31,3,50.529148430202476
0,0,32,1,69.0019421550005
0,0,33,1,10.692239202584005
0,0,34,0,
0,0,35,1,38.89610560670193
0,0,36,1,5.8357068067663675
0,0,37,1,93.39338878197137
0,0,38,0,
0,0,39,0,
0,0,40,0,
0,0,41,0,
0,0,42,2,61.37308304726238
0,0,43,0,
0,0,44,0,
0,0,45,2,27.30198726153247
0,0,46,0,
0,0,47,0,
0,0,48,0,
0,0,49,0,
0,1,0,0,
0,1,1,0,
0,1,2,1,81.95556314741353
0,1,3,0,
0,1,4,0,
0,1,5,1,37.03812295364512
0,1,6,1,58.46215576103115
0,1,7,1,15.584897288557004
0,1,8,0,
0,1,9,0,
0,1,10,0,
0,1,11,0,
0,1,12,2,21.39736871241925
0,1,13,0,
0,1,14,1,30.135340090175216
0,1,15,0,
0,1,16,0,
0,1,17,1,30.115791511451217
0,1,18,0,
0,1,19,2,69.92289875652784
0,1,20,1,34.95673134110383
0,1,21,1,68.93473456958958
0,1,22,2,66.01620022930754
0,1,23,0,
0,1,24,0,
0,1,25,0,
0,1,26,0,
0,1,27,0,
0,1,28,0,
0,1,29,1,1.9418235090025235
0,1,30,0,
0,1,31,1,87.4036234456598
0,1,32,0,
0,1,33,0,
0,1,34,1,8.745026914471369
0,1,35,0,
0,1,36,0,
0,1,37,1,6.806454640454813
0,1,38,1,81.69904417469169
0,1,39,1,51.56250093923812
0,1,40,0,
0,1,41,1,91.50424427273195
0,1,42,1,42.844958462283486
0,1,43,2,42.85846754353176
0,1,44,1,81.8470180654436
0,1,45,1,0.9746874461485558
0,1,46,1,60.45059158392561
0,1,47,2,56.56940276605446
0,1,48,0,
0,1,49,0,
0,2,0,1,23.424075395644476
0,2,1,0,
0,2,2,1,78.025575501706
0,2,3,1,73.12339917052603
0,2,4,2,81.86969802456842
0,2,5,0,
0,2,6,0,
0,2,7,0,
0,2,8,0,
0,2,9,0,
0,2,10,1,20.426667643908793
0,2,11,1,19.448052803350965
0,2,12,0,
0,2,13,0,
0,2,14,1,96.187495007707
0,2,15,0,
0,2,16,0,
0,2,17,0,
0,2,18,0,
0,2,19,1,25.23504464014071
0,2,20,2,81.51692837531753
0,2,21,0,
0,2,22,1,56.27356452677481
0,2,23,1,77.61349532390672
0,2,24,1,74.69996215789597
0,2,25,0,
0,2,26,0,
0,2,27,3,94.1063630802369
0,2,28,0,
0,2,29,2,74.7149797579792
0,2,30,1,32.994947199533286
0,2,31,0,
0,2,32,2,41.74183903025555
0,2,33,0,
0,2,34,0,
0,2,35,1,77.70803821597906
0,2,36,2,73.84090525844174
0,2,37,1,83.57887166341244
0,2,38,0,
0,2,39,3,48.62013200837741
0,2,40,1,20.426667643908793
0,2,41,0,
0,2,42,2,87.59872440590074
0,2,43,0,
0,2,44,0,
0,2,45,0,
0,2,46,1,71.14866614039875
0,2,47,0,
0,2,48,3,88.75409213319057
0,2,49,0,
0,3,0,0,
0,3,1,0,
0,3,2,0,
0,3,3,1,34.11180989598425
0,3,4,0,
0,3,5,1,29.217511922533845
0,3,6,0,
0,3,7,0,
0,3,8,0,
0,3,9,1,55.43573978543938
0,3,10,1,11.666823313739481
0,3,11,0,
0,3,12,0,
0,3,13,1,33.02552188521078
0,3,14,0,
0,3,15,0,
0,3,16,0,
0,3,17,0,
0,3,18,0,
0,3,19,2,64.98981307468523
0,3,20,0,
0,3,21,2,71.7598386760006
0,3,22,0,
0,3,23,0,
0,3,24,2,40.7198605139666
0,3,25,1,17.451117604364548
0,3,26,0,
0,3,27,0,
0,3,28,0,
0,3,29,0,
0,3,30,2,68.85933500747007
0,3,31,1,15.519955361118862
0,3,32,3,93.13619438868807
0,3,33,2,38.81451859812504
0,3,34,1,66.96992616037342
0,3,35,0,
0,3,36,2,62.1483633532646
0,3,37,0,
0,3,38,1,14.574370642520028
0,3,39,0,
0,3,40,0,
0,3,41,1,19.451136766820834
0,3,42,0,
0,3,43,0,
0,3,44,0,
0,3,45,0,
0,3,46,1,35.07368150284628
0,3,47,0,
0,3,48,0,
0,3,49,0,
0,4,0,1,72.17803720123052
0,4,1,2,70.2006870006878
0,4,2,1,52.63052015865113
0,4,3,0,
0,4,4,1,37.00818214468379
0,4,5,0,
0,4,6,0,
0,4,7,0,
0,4,8,1,59.319713928387415
0,4,9,1,65.13121890457224
0,4,10,1,78.71337137952902
0,4,11,1,14.571641485339239
0,4,12,0,
0,4,13,1,13.591570635445672
0,4,14,1,45.61542324458937
0,4,15,1,83.44345868669737
0,4,16,0,
0,4,17,0,
0,4,18,1,8.726309800785932
0,4,19,0,
0,4,20,2,64.939886637079
0,4,21,1,61.05471067302481
0,4,22,1,21.3184492115071
0,4,23,0,
0,4,24,0,
0,4,25,2,40.69328850659393
0,4,26,0,
0,4,27,0,
0,4,28,0,
0,4,29,0,
0,4,30,0,
0,4,31,0,
0,4,32,1,22.30056949089738
0,4,33,0,
0,4,34,0,
0,4,35,1,64.0380031781631
0,4,36,1,69.87894624703053
0,4,37,0,
0,4,38,1,1.942255349512574
0,4,39,1,96.17283380323897
0,4,40,0,
0,4,41,0,
0,4,42,0,
0,4,43,1,37.93952035994231
0,4,44,0,
0,4,45,1,28.232432099044647
0,4,46,1,49.66887603628614
0,4,47,0,
0,4,48,0,
0,4,49,0,
0,5,0,0,
0,5,1,1,9.74687446148556
0,5,2,0,
0,5,3,0,
0,5,4,0,
0,5,5,2,95.36858838060829
0,5,6,1,13.618758384549416
0,5,7,1,59.31592835182926
0,5,8,0,
0,5,9,0,
0,5,10,2,97.13039985015382
0,5,11,0,
0,5,12,0,
0,5,13,5,83.44679143338813
0,5,14,1,13.580147077670372
0,5,15,0,
0,5,16,0,
0,5,17,0,
0,5,18,0,
0,5,19,0,
0,5,20,0,
0,5,21,0,
0,5,22,1,38.73609084340623
0,5,23,1,58.09946052159282
0,5,24,2,90.04978967794425
0,5,25,1,14.523923761505547
0,5,26,1,13.555882317109887
0,5,27,0,
0,5,28,0,
0,5,29,0,
0,5,30,2,17.435661325137996
0,5,31,0,
0,5,32,1,81.39648459058135
0,5,33,3,94.98389018112174
0,5,34,0,
0,5,35,0,
0,5,36,0,
0,5,37,1,92.17959518804503
0,5,38,2,96.09224225462852
0,5,39,2,73.79297165081668
0,5,40,0,
0,5,41,1,89.39257649676159
0,5,42,2,78.73376140084585
0,5,43,0,
0,5,44,2,93.38577177976742
0,5,45,1,97.31488610266152
0,5,46,0,
0,5,47,0,
0,5,48,0,
0,5,49,2,67.25343378425035
0,6,0,0,
0,6,1,1,53.59030944761189
0,6,2,0,
0,6,3,1,61.33482594140989
0,6,4,1,20.436526815938898
0,6,5,1,17.509832208706392
0,6,6,0,
0,6,7,0,
0,6,8,0,
0,6,9,2,88.38014281831518
0,6,10,0,
0,6,11,0,
0,6,12,1,0.9701293786739736
0,6,13,1,87.28160782765134
0,6,14,0,
0,6,15,0,
0,6,16,0,
0,6,17,1,93.95884158546588
0,6,18,2,50.35772499396572
0,6,19,2,35.82392804081371
0,6,20,1,27.105091249508106
0,6,21,1,26.133121296146037
0,6,22,0,
0,6,23,1,47.41711106286515
0,6,24,1,81.28228645200439
0,6,25,0,
0,6,26,1,31.93232682043029
0,6,27,0,
0,6,28,1,53.22783206136764
0,6,29,0,
0,6,30,3,90.02762450729477
0,6,31,0,
0,6,32,0,
0,6,33,0,
0,6,34,0,
0,6,35,1,48.45901069709738
0,6,36,1,67.8634996593061
0,6,37,1,75.64406011729783
0,6,38,0,
0,6,39,1,66.96296347159095
0,6,40,1,7.766709620882984
0,6,41,0,
0,6,42,0,
0,6,43,0,
0,6,44,0,
0,6,45,0,
0,6,46,1,77.85343548929104
0,6,47,0,
0,6,48,1,24.34923639005607
0,6,49,0,
0,7,0,1,49.69789018505698
0,7,1,0,
0,7,2,2,75.94401868005116
0,7,3,0,
0,7,4,0,
0,7,5,0,
0,7,6,0,
0,7,7,1,78.69702617094383
0,7,8,2,64.09677108737166
0,7,9,0,
0,7,10,1,16.496388304214538
0,7,11,5,59.16982981426566
0,7,12,1,53.32972948667788
0,7,13,0,
0,7,14,1,25.19262102245687
0,7,15,0,
0,7,16,0,
0,7,17,0,
0,7,18,1,89.04017926205124
0,7,19,1,71.60335371921111
0,7,20,0,
0,7,21,1,1.9345466879887236
0,7,22,2,78.33930956790603
0,7,23,0,
0,7,24,0,
0,7,25,0,
0,7,26,2,87.03104386100588
0,7,27,3,68.66157575569997
0,7,28,0,
0,7,29,1,82.21823423952075
0,7,30,2,23.218258742635047
0,7,31,3,95.7936759216473
0,7,32,1,59.037510162881794
0,7,33,1,3.8722842408879656
0,7,34,1,48.41699868628332
0,7,35,1,15.49812270760502
0,7,36,2,45.5405072329028
0,7,37,1,77.54245039607596
0,7,38,1,46.5423093701916
0,7,39,0,
0,7,40,0,
0,7,41,1,45.62595971041954
0,7,42,1,32.04838554368583
0,7,43,2,97.15682243326398
0,7,44,1,69.9824482642949
0,7,45,1,27.22698350575769
0,7,46,1,59.341301075807195
0,7,47,0,
0,7,48,0,
0,7,49,0,
0,8,0,0,
0,8,1,0,
0,8,2,1,73.97225616498284
0,8,3,0,
0,8,4,1,11.669451920338508
0,8,5,1,21.38447840516801
0,8,6,1,76.75567783443286
0,8,7,0,
0,8,8,0,
0,8,9,1,21.347137073708343
0,8,10,2,43.646267969706685
0,8,11,0,
0,8,12,1,60.08648640894318
0,8,13,0,
0,8,14,2,56.168231724038684
0,8,15,1,56.149049928094286
0,8,16,0,
0,8,17,1,29.024857395942586
0,8,18,1,67.70671616301013
0,8,19,2,45.44954512741418
0,8,20,0,
0,8,21,2,21.26635910418275
0,8,22,0,
0,8,23,0,
0,8,24,2,42.520531846273386
0,8,25,1,55.08234983714918
0,8,26,1,71.5118035596416
0,8,27,1,26.093654964595007
0,8,28,0,
0,8,29,0,
0,8,30,1,30.93810023068515
0,8,31,0,
0,8,32,1,68.67395496533884
0,8,33,1,2.9024857395942583
0,8,34,0,
0,8,35,0,
0,8,36,2,89.09443652778549
0,8,37,1,93.00177833951199
0,8,38,1,24.22842193908999
0,8,39,2,86.28732347007208
0,8,40,1,2.9097511979804453
0,8,41,0,
0,8,42,0,
0,8,43,0,
0,8,44,0,
0,8,45,1,14.580326185341825
0,8,46,1,94.32806968940294
0,8,47,0,
0,8,48,0,
0,8,49,0,
0,9,0,0,
0,9,1,1,38.93797628626891
0,9,2,1,37.947173072043086
0,9,3,0,
0,9,4,1,57.354356945817344
0,9,5,2,54.41287265020271
0,9,6,0,
0,9,7,0,
0,9,8,0,
0,9,9,0,
0,9,10,3,66.89305424753543
0,9,11,0,
0,9,12,1,6.7805349597758875
0,9,13,0,
0,9,14,0,
0,9,15,2,78.37121144172947
0,9,16,2,96.72214906514867
