x,y,z,collapse_count,last_collapsed_at
0,0,0,1,9.712692683628358
0,0,1,1,35.46896943425898
0,0,2,1,74.0
0,0,3,1,46.0
0,0,4,1,40.0
0,0,5,2,11.325715608279141
0,0,6,2,83.80362432954608
0,0,7,0,
0,0,8,1,39.0
0,0,9,1,13.403808597563474
0,0,10,1,37.68942062451893
0,0,11,3,53.99233746351279
0,0,12,3,69.0
0,0,13,4,67.47057388223152
0,0,14,1,87.24646432649993
0,0,15,4,66.85997925156816
0,0,16,2,71.0
0,0,17,1,21.0
0,0,18,1,18.0
0,0,19,1,86.0
0,0,20,0,
0,0,21,2,11.821943661175776
0,0,22,1,22.0
0,0,23,5,79.92967995600655
0,0,24,3,77.0
0,0,25,0,
0,0,26,1,3.0
0,0,27,2,81.0
0,0,28,1,13.0
0,0,29,5,43.0
0,0,30,3,47.701841824235
0,0,31,3,98.0
0,0,32,4,43.32489312195653
0,0,33,3,58.69817927217646
0,0,34,2,81.0
0,0,35,1,57.0
0,0,36,1,45.64177877518219
0,0,37,1,44.68977998061775
0,0,38,2,60.75510124411661
0,0,39,1,35.54364533126071
0,0,40,2,35.82359816668719
0,0,41,1,42.092836740853905
0,0,42,3,34.65755901679603
0,0,43,3,42.74295229252205
0,0,44,4,22.3363424358876
0,0,45,2,32.0
0,0,46,4,77.31223954132271
0,0,47,2,49.0
0,0,48,0,
0,0,49,2,69.29464851951289
0,1,0,3,83.0
0,1,1,0,
0,1,2,5,80.0
0,1,3,3,57.33100767171559
0,1,4,2,19.66233779647459
0,1,5,2,35.72459465982054
0,1,6,1,5.444067828238389
0,1,7,1,27.0
0,1,8,0,
0,1,9,2,44.658210583172995
0,1,10,2,61.382530845559046
0,1,11,0,
0,1,12,3,13.225559645501301
0,1,13,3,76.0
0,1,14,2,36.0
0,1,15,3,69.0
0,1,16,1,14.795658254858491
0,1,17,2,42.15808653662534
0,1,18,1,31.123819204491497
0,1,19,2,71.28912946021086
0,1,20,0,
0,1,21,3,52.07966110098544
0,1,22,5,67.09903172292448
0,1,23,4,62.63110921392954
0,1,24,1,30.0
0,1,25,0,
0,1,26,2,52.04365733405206
0,1,27,3,52.351974850650436
0,1,28,2,37.437235164448076
0,1,29,2,72.0
0,1,30,0,
0,1,31,4,41.08226008216528
0,1,32,4,69.972381223808
0,1,33,2,16.981032353431036
0,1,34,1,42.479927359570304
0,1,35,3,46.88689160610922
0,1,36,2,20.0
0,1,37,4,35.91021930527233
0,1,38,1,36.50469634883016
0,1,39,4,51.87192280020614
0,1,40,1,72.67682458000698
0,1,41,1,75.0
0,1,42,0,
0,1,43,4,58.521742291984204
0,1,44,2,68.16592968860024
0,1,45,5,38.17885919733169
0,1,46,2,10.254329792040654
0,1,47,1,89.0
0,1,48,2,87.35986173257963
0,1,49,1,36.90856463659733
0,2,0,1,1.4167019983096454
0,2,1,3,66.09976178178329
0,2,2,0,
0,2,3,2,20.814564714609098
0,2,4,1,70.0
0,2,5,0,
0,2,6,2,18.933351893625815
0,2,7,2,60.88883064543109
0,2,8,1,2.17787954458616
0,2,9,3,26.0
0,2,10,2,37.31054312793139
0,2,11,0,
0,2,12,0,
0,2,13,1,64.81030269784327
0,2,14,3,51.73608207900662
0,2,15,4,95.0
0,2,16,0,
